"Player","Team","PS","Min","3M","3A","FTM","FTA","TR","AS","ST","TO","BK","PF","DQ","PTS","TC","Sta","+/-"
"prince,tayshaun","min","SF",1462,0.0027359781121751026,0.17391304347826086,0.008891928864569083,0.6842105263157895,0.10054719562243503,0.04993160054719562,0.024623803009575923,0.018467852257181942,0.008891928864569083,0.04240766073871409,0,0.1511627906976744,0,44,-124
"randle,julius","lal","PF",2287,0.004372540445999125,0.2777777777777778,0.08439003060778312,0.7148148148148148,0.3629208570179274,0.06296458242238741,0.023174464363795364,0.06515085264538698,0.012680367293397464,0.10581547879317883,2,0.4018364669873196,0,60,-681
"randolph,zach","mem","PF",2019,0.0029717682020802376,0.23076923076923078,0.08519068845963348,0.7962962962962963,0.26201089648340764,0.0703318474492323,0.02129767211490837,0.05200594353640416,0.0064388311045071814,0.07231302625061913,0,0.5151064883605745,0,53,-16
"redick,j.j.","lac","SG",2098,0.09532888465204957,0.47619047619047616,0.08674928503336511,0.8878048780487805,0.06625357483317446,0.05052430886558627,0.02001906577693041,0.03765490943755958,0.0023832221163012394,0.06434699714013346,0,0.5843660629170638,1,75,511
"reed,willie","bro","PF",426,0.0,0.0,0.07042253521126761,0.5454545454545454,0.2863849765258216,0.023474178403755867,0.014084507042253521,0.03755868544600939,0.07042253521126761,0.11032863849765258,0,0.4272300469483568,0,2,-81
"richardson,josh","mia","SG",1105,0.04796380090497738,0.4608695652173913,0.03800904977375565,0.6666666666666666,0.09683257918552036,0.0660633484162896,0.03257918552036199,0.03167420814479638,0.02262443438914027,0.09683257918552036,0,0.3085972850678733,0,2,36
"rivers,austin","lac","SG",1466,0.04229195088676671,0.33513513513513515,0.0538881309686221,0.6810344827586207,0.08867667121418826,0.06753069577080491,0.03274215552523874,0.04160982264665757,0.0068212824010914054,0.09345156889495225,1,0.4045020463847203,2,7,-165
"roberson,andre","okl","SG",1552,0.020618556701030927,0.3106796116504854,0.021262886597938145,0.6111111111111112,0.16108247422680413,0.030283505154639175,0.03479381443298969,0.022551546391752577,0.027061855670103094,0.0856958762886598,0,0.21713917525773196,1,70,261
"roberts,brian","por","PG",474,0.03164556962025317,0.35714285714285715,0.08860759493670886,0.8936170212765957,0.08649789029535865,0.11392405063291139,0.02109704641350211,0.04852320675105485,0.004219409282700422,0.07383966244725738,0,0.43248945147679324,0,0,-64
"robinson,glenn","ind","SF",511,0.0273972602739726,0.3783783783783784,0.05283757338551859,0.6923076923076923,0.13307240704500978,0.050880626223091974,0.033268101761252444,0.03522504892367906,0.01761252446183953,0.0410958904109589,0,0.33463796477495106,0,4,-37
"robinson,nate","nor","PG",23,0.0,0.0,0.0,0.0,0.0,0.17391304347826086,0.043478260869565216,0.0,0.0,0.21739130434782608,0,0.0,0,1,-20
